id_accs,id_prop
0012A00002AXHJUQA5,a0I2A00000Y65dkUAB
0012A00002AXHJUQA5,a0I2A00000XwWtdUAF
0012A00002AXHJUQA5,a0I2A00000XQHddUAH
0012A00002AXHJUQA5,a0I2A00000XQIUYUA5
0012A00002AXHJUQA5,a0I2A00000XQIiRUAX
0012A00002AXHJUQA5,a0I2A00000XQJQLUA5
0012A00002AXHJUQA5,a0I2A00000XQJUfUAP
0012A00002AXHJUQA5,a0I2A00000XQJVjUAP
0012A00002AXHJUQA5,a0I2A00000XQLmQUAX
0012A00002AXHJUQA5,a0I2A00000XQLpvUAH
0012A00002AXHJUQA5,a0I2A00000XQM6yUAH
0012A00002AXHJUQA5,a0I2A00000XQNgZUAX
0012A00002AXHJUQA5,a0I2A00000XQe57UAD
0012A00002AXHJUQA5,a0I2A00000XQfsyUAD
0012A00002AXHJUQA5,a0I2A00000XQiNEUA1
0012A00002AXHJUQA5,a0I2A00000XuMGMUA3
0012A00002AXHJUQA5,a0I2A00000XuOU3UAN
0012A00002AXHJUQA5,a0I2A00000XuSFjUAN
0012A00002AXHJUQA5,a0I2A00000XuRx3UAF
0012A00002AXHJUQA5,a0I2A00000XwH0tUAF
0012A00002AXHJUQA5,a0I2A00000XwK10UAF
0012A00002AXHJUQA5,a0I2A00000XwKKLUA3
0012A00002AXHJUQA5,a0I2A00000XwOxpUAF
0012A00002AXHJUQA5,a0I2A00000XwQ0LUAV
0012A00002AXHJUQA5,a0I2A00000XQH4JUAX
0012A00002AXHJUQA5,a0I2A00000XvA3vUAF
0012A00002AXHJUQA5,a0I2A00000XvA46UAF
0012A00002AXHJUQA5,a0I2A00000XwS08UAF
0012A00002AXHJUQA5,a0I2A00000XwSmSUAV
0012A00002AXHJUQA5,a0I2A00000XwWB1UAN
0012A00002AXHJUQA5,a0I2A00000XwWaAUAV
0012A00002AXHJUQA5,a0I2A00000XwWeOUAV
0012A00002AXHJUQA5,a0I2A00000XwX5aUAF
0012A00002AXHJUQA5,a0I2A00000XwZ46UAF
0012A00002AXHJUQA5,a0I2A00000XwZMYUA3
0012A00002AXHJUQA5,a0I2A00000XwZpyUAF
0012A00002AXHJUQA5,a0I2A00000XwakXUAR
0012A00002AXHJUQA5,a0I2A00000XwbUCUAZ
0012A00002AXHJUQA5,a0I2A00000XwbgZUAR
0012A00002AXHJUQA5,a0I2A00000Xwc4eUAB
0012A00002AXHJUQA5,a0I2A00000XwgacUAB
0012A00002AXHJUQA5,a0I2A00000YFuRWUA1
0012A00002AXHJUQA5,a0I2A00000YFvCPUA1
0012A00002AXHJUQA5,a0I2A00000YFvCkUAL
0012A00002AXHJUQA5,a0I2A00000YGb3QUAT
0012A00002AXHJUQA5,a0I2A00000YGkgaUAD
0012A00002AXHJUQA5,a0I2A00000YH2dqUAD
0012A00002AXHJUQA5,a0I2A00000YH2nsUAD
0012A00002AXHJUQA5,a0I2A00000YH3M5UAL
0012A00002AXHJUQA5,a0I2A00000YH4YnUAL
0012A00002AXHJUQA5,a0I2A00000YH4b3UAD
0012A00002AXHJUQA5,a0I2A00000XQHX5UAP
0012A00002AXHJUQA5,a0I2A00000XQHdIUAX
0012A00002AXHJUQA5,a0I2A00000XQI4GUAX
0012A00002AXHJUQA5,a0I2A00000XQIpcUAH
0012A00002AXHJUQA5,a0I2A00000XQJECUA5
0012A00002AXHJUQA5,a0I2A00000XQL9oUAH
0012A00002AXHJUQA5,a0I2A00000XQXq7UAH
0012A00002AXHJUQA5,a0I2A00000XQeGvUAL
0012A00002AXHJUQA5,a0I2A00000XQlXwUAL
0012A00002AXHJUQA5,a0I2A00000XQlYPUA1
0012A00002AXHJUQA5,a0I2A00000Xu9wgUAB
0012A00002AXHJUQA5,a0I2A00000XuDCrUAN
0012A00002AXHJUQA5,a0I2A00000XuFVnUAN
0012A00002AXHJUQA5,a0I2A00000XuGKQUA3
0012A00002AXHJUQA5,a0I2A00000XuGOPUA3
0012A00002AXHJUQA5,a0I2A00000XuGPZUA3
0012A00002AXHJUQA5,a0I2A00000XuV3EUAV
0012A00002AXHJUQA5,a0I2A00000XuVSYUA3
0012A00002AXHJUQA5,a0I2A00000XuVZpUAN
0012A00002AXHJUQA5,a0I2A00000XuVbPUAV
0012A00002AXHJUQA5,a0I2A00000XuVuPUAV
0012A00002AXHJUQA5,a0I2A00000XQGtxUAH
0012A00002AXHJUQA5,a0I2A00000XQHa7UAH
